firstname;middlename;lastname;title;description;ou
Keanu;;Reeves;Actor;Neo;OU=Cast,OU=DomainUsers
Laurence;;Fishburne;Actor;Morpheus;OU=Cast,OU=DomainUsers
Carrie-Anne;;Moss;Actor;Trinity;OU=Cast,OU=DomainUsers
Hugo;;Weaving;Actor;Agent Smith;OU=Cast,OU=DomainUsers
Gloria;;Foster;Actor;Oracle;OU=Cast,OU=DomainUsers
Joe;;Pantoliano;Actor;Cypher;OU=Cast,OU=DomainUsers
Marcus;;Chong;Actor;Tank;OU=Cast,OU=DomainUsers
Julian;;Arahanga;Actor;Apoc;OU=Cast,OU=DomainUsers
Matt;;Doran;Actor;Mouse;OU=Cast,OU=DomainUsers
Belinda;;McClory;Actor;Switch;OU=Cast,OU=DomainUsers
Anthony;Ray;Parker;Actor;Dozer;OU=Cast,OU=DomainUsers
Paul;;Goddard;Actor;Agent Brown;OU=Cast,OU=DomainUsers
Robert;;Taylor;Actor;Agent Jones;OU=Cast,OU=DomainUsers
David;;Aston;Actor;Rhineheart;OU=Cast,OU=DomainUsers
Marc;;Gray;Actor;Choi;OU=Cast,OU=DomainUsers
Ada;;Nicodemou;Actor;Dujour (White Rabbit Girl);OU=Cast,OU=DomainUsers
Deni;;Gordon;Actor;Priestess;OU=Cast,OU=DomainUsers
Rowan;;Witt;Actor;Spoon Boy;OU=Cast,OU=DomainUsers
Elenor;;Witt;Actor;Potential;OU=Cast,OU=DomainUsers
Tamara;;Brown;Actor;Potential;OU=Cast,OU=DomainUsers
Janaya;;Pender;Actor;Potential;OU=Cast,OU=DomainUsers
Adryn;;White;Actor;Potential;OU=Cast,OU=DomainUsers
Natalie;;Tjen;Actor;Potential;OU=Cast,OU=DomainUsers
Bill;;Young;Actor;Lieutenant;OU=Cast,OU=DomainUsers
David;;O'Connor;Actor;FedEx Man;OU=Cast,OU=DomainUsers
Jeremy;;Ball;Actor;Businessman;OU=Cast,OU=DomainUsers
Fiona;;Johnson;Actor;Woman in Red;OU=Cast,OU=DomainUsers
Harry;;Lawrence;Actor;Old Man;OU=Cast,OU=DomainUsers
Steve;;Dodd;Actor;Blind Man;OU=Cast,OU=DomainUsers
Luke;;Quinton;Actor;Security Guard;OU=Cast,OU=DomainUsers
Lawrence;;Woodward;Actor;Guard;OU=Cast,OU=DomainUsers
Michael;;Butcher;Actor;Cop Who Captures Neo;OU=Cast,OU=DomainUsers
Bernie;;Ledger;Actor;Big Cop;OU=Cast,OU=DomainUsers
Robert;;Simper;Actor;Cop;OU=Cast,OU=DomainUsers
Chris;;Scott;Actor;Cop;OU=Cast,OU=DomainUsers
Nigel;;Harbach;Actor;Parking Cop;OU=Cast,OU=DomainUsers
Lana;;Wachowski;Director;;OU=Directors,OU=Crew,OU=DomainUsers
Lilly;;Wachowski;Director;;OU=Directors,OU=Crew,OU=DomainUsers
Bruce;;Berman;executive producer;;OU=Producers,OU=Crew,OU=DomainUsers
Dan;;Cracchiolo;co-producer;;OU=Producers,OU=Crew,OU=DomainUsers
Carol;;Hughes;associate producer;;OU=Producers,OU=Crew,OU=DomainUsers
Andrew;;Mason;executive producer;;OU=Producers,OU=Crew,OU=DomainUsers
Richard;;Mirisch;associate producer;;OU=Producers,OU=Crew,OU=DomainUsers
Barrie;M.;Osborne;executive producer;;OU=Producers,OU=Crew,OU=DomainUsers
Joel;;Silver;producer;;OU=Producers,OU=Crew,OU=DomainUsers
Erwin;;Stoff;executive producer;;OU=Producers,OU=Crew,OU=DomainUsers
Larry;;Wachowski;executive producer;;OU=Producers,OU=Crew,OU=DomainUsers
Andy;;Wachowski;executive producer;;OU=Producers,OU=Crew,OU=DomainUsers
Rick;;Connelly;makeup special effects artist;;OU=Makeup Department,OU=Crew,OU=DomainUsers
Kathy;;Courtney;makeup artist: second unit;;OU=Makeup Department,OU=Crew,OU=DomainUsers
Nikki;;Gooley;makeup and hair designer;;OU=Makeup Department,OU=Crew,OU=DomainUsers
Sherry;;Hubbard;assistant makeup artist;;OU=Makeup Department,OU=Crew,OU=DomainUsers
Bob;;McCarron;special makeup effects designer and creator;;OU=Makeup Department,OU=Crew,OU=DomainUsers
Wendy;;Sainsbury;senior makeup special effects artist;;OU=Makeup Department,OU=Crew,OU=DomainUsers
Sonja;;Smuk;makeup special effects artist;;OU=Makeup Department,OU=Crew,OU=DomainUsers
Deborah;;Taylor;makeup artist: Mr. Fishburne;;OU=Makeup Department,OU=Crew,OU=DomainUsers
Elka;;Wardega;makeup special effects artist;;OU=Makeup Department,OU=Crew,OU=DomainUsers
Cheryl;;Williams;hair stylist;;OU=Makeup Department,OU=Crew,OU=DomainUsers
Simon;;Zanker;assistant hair stylist;;OU=Makeup Department,OU=Crew,OU=DomainUsers
Dick;;Beckett;assistant unit manager: second unit;;OU=Production Management,OU=Crew,OU=DomainUsers
Carol;;Hughes;unit production manager;;OU=Production Management,OU=Crew,OU=DomainUsers
Grayden;;Le Breton;assistant unit manager;;OU=Production Management,OU=Crew,OU=DomainUsers
Simon;;Lucas;unit manager: second unit;;OU=Production Management,OU=Crew,OU=DomainUsers
Will;;Matthews;unit manager;;OU=Production Management,OU=Crew,OU=DomainUsers
Aiko;;Otani;producer;;OU=Production Management,OU=Crew,OU=DomainUsers
Colin;;Fletcher;first assistant director;;OU=Second Unit Director or Assistent Director,OU=Crew,OU=DomainUsers
Bruce;;Hunt;second unit director;;OU=Second Unit Director or Assistent Director,OU=Crew,OU=DomainUsers
James;;McTeigue;first assistant director;;OU=Second Unit Director or Assistent Director,OU=Crew,OU=DomainUsers
Toby;;Pease;first assistant director: second unit;;OU=Second Unit Director or Assistent Director,OU=Crew,OU=DomainUsers
Tom;;Read;second assistant director;;OU=Second Unit Director or Assistent Director,OU=Crew,OU=DomainUsers
Noni;;Roy;second assistant director;;OU=Second Unit Director or Assistent Director,OU=Crew,OU=DomainUsers
Jeremy;;Sedley;second assistant director: second unit;;OU=Second Unit Director or Assistent Director,OU=Crew,OU=DomainUsers
Paul;;Sullivan;third assistant director;;OU=Second Unit Director or Assistent Director,OU=Crew,OU=DomainUsers
Tony;;Bardolph;construction;;OU=Art Department,OU=Crew,OU=DomainUsers
Brett;;Bartlett;construction;;OU=Art Department,OU=Crew,OU=DomainUsers
Shane;;Bennett;standby props assistant: second unit;;OU=Art Department,OU=Crew,OU=DomainUsers
Jake;;Clifton;props: second unit;;OU=Art Department,OU=Crew,OU=DomainUsers
Godric;;Cole;set designer;;OU=Art Department,OU=Crew,OU=DomainUsers
Peter;;Collias;scenic artist;;OU=Art Department,OU=Crew,OU=DomainUsers
Jules;;Cook;assistant art director;;OU=Art Department,OU=Crew,OU=DomainUsers
James;;Cox;props: second unit;;OU=Art Department,OU=Crew,OU=DomainUsers
